lag,acf
0,1.0
1,-0.27344134000916026
2,0.018152414064006684
3,0.015970198844418592
4,-0.02868746453602421
5,0.09613256778817082
6,-0.03149646581829069
7,0.022527354106318006
8,-0.026487155638039127
9,0.010725300109494997
10,0.0680991576054732
11,-0.03606817497744483
12,0.0067990127697891345
13,-0.04091039949337086
14,-0.020111243981940294
15,0.09634474177987012
16,-0.025886756984658112
17,0.007831658511843214
18,-0.020574443503961218
19,-0.011879151655878254
20,0.05075051182318322
21,-0.03010141446483106
22,0.027199837068451093
23,-0.03320389627948981
24,-0.03362789852927465
25,0.052915385576869624
26,-0.02119820882110147
27,-0.010419943341457813
28,-0.032099185870798
29,-0.04687940633987471
30,0.07405788898197879
31,-0.015888344124504745
32,-0.009879551340973342
33,-0.035896659023419875
34,-0.02147988232829607
35,0.04485446495199938
36,0.014614744531808867
37,-0.03829026265801408
38,-0.0032232952271208266
39,-0.02507483189475788
40,0.005883676125868739
41,0.01439564190991736
42,-0.035038870661659775
43,0.015871107390267748
44,-0.030796694658711782
45,0.010174775332141773
46,-0.023861009800607912
47,-0.021017082048742045
48,0.00666787676205454
49,-0.023977996923800246
50,0.04994701806523804
51,-0.02607202209014443
52,-0.02047147339379389
53,0.006213490586018225
54,-0.030380107994985306
55,0.03351424461553738
56,-0.013457835996983704
57,-0.005242897212751414
58,0.002799579692123549
59,-0.016235616159965268
60,-0.007042184155650445
