lag,pacf
0,1.0
1,-0.27344134000916026
2,-0.06119317634116316
3,0.0048871608154999364
4,-0.023473663366551812
5,0.08945948964481917
6,0.02053660278065372
7,0.025401818051430554
8,-0.018932736836722263
9,0.0012082214503267251
10,0.06719869234591364
11,0.003827170481147331
12,-0.003834839456905376
13,-0.04317267085624645
14,-0.04863890830437376
15,0.0715220557018067
16,0.026331683646679736
17,0.012101937625911226
18,-0.010178577723298785
19,-0.0196809920996957
20,0.026605835450217157
21,-0.007418278942252878
22,0.018687669421450784
23,-0.012379717061061052
24,-0.04940495729527965
25,0.011444596766258443
26,-0.0005297502799591331
27,-0.01979411631717509
28,-0.029862280147726298
29,-0.061961585095824695
30,0.03169490155469271
31,0.017209062137947588
32,-0.008603977452620247
33,-0.03003918447196496
34,-0.03082373975089521
35,0.013502251513579012
36,0.03900247174079414
37,-0.029533232211843664
38,-0.005046699184424172
39,-0.019462017635044133
40,-0.028183479844758396
41,0.004580312886871724
42,-0.028835018720689134
43,0.01774158117614063
44,-0.007267781162737903
45,-0.019201912562411674
46,-0.035850370342757044
47,-0.03512848284814351
48,0.0002056781882212284
49,-0.002148971633539352
50,0.0327325500686437
51,-0.006787532113817816
52,-0.028406212115577947
53,-0.009124760429891843
54,-0.015519575271516893
55,0.01022286736091501
56,-0.002537169616714561
57,-0.005446411967096882
58,-0.003923829608745045
59,-0.0020202670613576157
60,-0.032051359621918574
