config,train_end,valid_start,valid_end,rmse,mae,mape
ar_only,2018-12-31,2019-01-01,2019-12-31,280.68848175034867,238.45009152066385,1.6838235023625385
ar_only,2019-12-31,2020-01-01,2020-12-31,580.6002107942348,413.8152625165792,2.7896901331787745
ar_only,2020-12-31,2021-01-01,2021-12-31,244.66253579300331,198.33543054049937,1.3884637077799906
ar_only,2021-12-31,2022-01-03,2022-12-30,582.1896736172246,419.2413992122071,2.754025197235143
ar_only,2022-12-30,2023-01-02,2023-05-31,630.9234070648962,587.3446075876765,3.9208889974051244
ar_plus_stepwise,2018-12-31,2019-01-01,2019-12-31,586.1316571909973,529.2678572836687,3.7285360297692116
ar_plus_stepwise,2019-12-31,2020-01-01,2020-12-31,825.0736218857372,632.2666527110047,4.217936485019166
ar_plus_stepwise,2020-12-31,2021-01-01,2021-12-31,625.5343181376152,593.2594918080662,4.131739407028101
ar_plus_stepwise,2021-12-31,2022-01-03,2022-12-30,525.1998238756489,397.10498856804435,2.611972343518768
ar_plus_stepwise,2022-12-30,2023-01-02,2023-05-31,614.344907430424,563.8569102363995,3.7668432243990573
ar_plus_stepwise_market,2018-12-31,2019-01-01,2019-12-31,515.398478157172,475.10664483278987,3.3515605865114684
ar_plus_stepwise_market,2019-12-31,2020-01-01,2020-12-31,820.0189735152917,633.2843191543966,4.235190539737444
ar_plus_stepwise_market,2020-12-31,2021-01-01,2021-12-31,371.24537073257807,328.43562271438543,2.2852523776393863
ar_plus_stepwise_market,2021-12-31,2022-01-03,2022-12-30,508.0818075257402,362.5840803746002,2.37502973385856
ar_plus_stepwise_market,2022-12-30,2023-01-02,2023-05-31,639.04165755826,608.4518786557871,4.05065525903145
ar_plus_stepwise_market_interactions,2018-12-31,2019-01-01,2019-12-31,426.6688107661578,393.40211236949307,2.7742211997310617
ar_plus_stepwise_market_interactions,2019-12-31,2020-01-01,2020-12-31,775.5104606583872,544.9389621479039,3.6176058068078185
ar_plus_stepwise_market_interactions,2020-12-31,2021-01-01,2021-12-31,484.5402827807635,448.405716575485,3.1226614214928734
ar_plus_stepwise_market_interactions,2021-12-31,2022-01-03,2022-12-30,560.7514716641888,435.36244998048056,2.8645128352553773
ar_plus_stepwise_market_interactions,2022-12-30,2023-01-02,2023-05-31,623.2945584976198,595.2019508147328,3.9656936800963987
