year,rmse,n,model
2023,317.8238808191953,152,lgbm_safe
2024,652.9882216979911,262,lgbm_safe
2025,999.2092918079024,258,lgbm_safe
2026,1477.6614215272152,106,lgbm_safe
2023,718.5543409082354,152,lgbm_full
2024,1261.1689221822382,262,lgbm_full
2025,1832.1998914173525,258,lgbm_full
2026,2458.102451227839,106,lgbm_full
2023,419.4309197704894,152,direct_safe
2024,830.2664126384483,262,direct_safe
2025,1279.538965556773,258,direct_safe
2026,1821.731912958324,106,direct_safe
2023,450.96129443746133,152,direct_full
2024,854.5745136137127,262,direct_full
2025,1300.7738689509983,258,direct_full
2026,1816.2562218195133,106,direct_full
2023,175.92346933857033,152,regime_split_safe
2024,632.8297697167704,262,regime_split_safe
2025,1088.7903727758442,258,regime_split_safe
2026,1308.98547879735,106,regime_split_safe
2023,209.06159396911752,152,elasticnet_full
2024,448.1794121867272,262,elasticnet_full
2025,369.73785788972856,258,elasticnet_full
2026,335.31682265389395,106,elasticnet_full
