model,year,rmse,mae,mape
SSM_AR10_baseline,2023.0,445.5341608877752,365.66454010172384,2.3555861049519167
SSM_AR10_baseline,2024.0,915.2835599766438,856.7444087918452,5.3674549018359805
SSM_AR10_baseline,2025.0,1475.5325900839493,1459.9425976408527,8.859878109744118
SSM_AR10_baseline,2026.0,2068.0235463087924,2046.28212094066,11.985078843533408
TVP_AR10,2023.0,447.41013876646133,367.4101497264196,2.3668676769708945
TVP_AR10,2024.0,917.4964937748223,859.1081439037013,5.382377772420966
TVP_AR10,2025.0,1477.871390480986,1462.3063327527086,8.874250250350265
TVP_AR10,2026.0,2070.3624593600357,2048.6458560525157,11.998958162499239
Break_2022_2023_AR10,2023.0,435.90756317751436,356.83409323441106,2.2985995825606818
Break_2022_2023_AR10,2024.0,903.7320436426985,844.3924404796495,5.289473733951225
Break_2022_2023_AR10,2025.0,1463.3122244120236,1447.5906293286569,8.784774844384525
Break_2022_2023_AR10,2026.0,2055.8022121248523,2033.930152628464,11.912550874049483
MarkovAR_4reg_p1,2023.0,290.5556609069487,225.4633396496118,1.4515137199317791
MarkovAR_4reg_p1,2024.0,450.3532452639308,377.9009818369667,2.366417768763699
MarkovAR_4reg_p1,2025.0,387.19003958749084,338.1545227116309,2.046951475129338
MarkovAR_4reg_p1,2026.0,583.7003893966968,529.8033365181823,3.0863607138125992
