model,target,train_start,train_end,valid_start,valid_end,rmse,mae,mape
LightGBM,level,2010-01-04,2014-12-31,2015-01-01,2015-12-31,1057.2379641400316,920.4718517206544,6.75331772639202
LightGBM,diff,2010-01-04,2014-12-31,2015-01-01,2015-12-31,262.2835732746522,167.71175883791508,1.2370248952390535
LightGBM,log_return,2010-01-04,2014-12-31,2015-01-01,2015-12-31,111.47526673397122,87.18045631057413,0.6455067138952252
LightGBM,level,2011-01-03,2015-12-31,2016-01-01,2016-12-30,1009.0501449572623,862.8107671481251,6.515245060097688
LightGBM,diff,2011-01-03,2015-12-31,2016-01-01,2016-12-30,101.93608753354523,74.72314653564095,0.5604697386217734
LightGBM,log_return,2011-01-03,2015-12-31,2016-01-01,2016-12-30,88.95476921004466,66.93615556965977,0.5027793069578385
LightGBM,level,2012-01-02,2016-12-30,2017-01-02,2017-12-29,30.607585596613934,21.919162251157054,0.16327392267429877
LightGBM,diff,2012-01-02,2016-12-30,2017-01-02,2017-12-29,855.9226644081834,694.8150063559245,5.177773759407569
LightGBM,log_return,2012-01-02,2016-12-30,2017-01-02,2017-12-29,269.8758804585771,236.3821630203443,1.7635688635531264
LightGBM,level,2013-01-01,2017-12-29,2018-01-01,2018-12-31,679.4276741677153,484.4788044222465,3.286753780864375
LightGBM,diff,2013-01-01,2017-12-29,2018-01-01,2018-12-31,667.2127835301285,425.96708833298237,2.899491423271989
LightGBM,log_return,2013-01-01,2017-12-29,2018-01-01,2018-12-31,179.50140427851426,120.49620776897684,0.8288794022018705
LightGBM,level,2014-01-01,2018-12-31,2019-01-01,2019-12-31,119.84397585563042,102.03014746129116,0.7205464365430616
LightGBM,diff,2014-01-01,2018-12-31,2019-01-01,2019-12-31,116.40300059909227,94.86948218873295,0.6704581397482439
LightGBM,log_return,2014-01-01,2018-12-31,2019-01-01,2019-12-31,128.85742715668405,107.6312483133581,0.7604319675943595
LightGBM,level,2015-01-01,2019-12-31,2020-01-01,2020-12-31,312.69286921814916,153.50073713746684,0.995532404802389
LightGBM,diff,2015-01-01,2019-12-31,2020-01-01,2020-12-31,778.567032072275,666.5488437433189,4.554081972430725
LightGBM,log_return,2015-01-01,2019-12-31,2020-01-01,2020-12-31,775.4965164728418,667.9739595257122,4.561552085072136
LightGBM,level,2016-01-01,2020-12-31,2021-01-01,2021-12-31,26.07776010252827,19.54948692099266,0.13683251289862636
LightGBM,diff,2016-01-01,2020-12-31,2021-01-01,2021-12-31,172.85176049433238,152.16470641191597,1.0645920405910658
LightGBM,log_return,2016-01-01,2020-12-31,2021-01-01,2021-12-31,289.94440782171534,274.4037900838467,1.9172706056788187
LightGBM,level,2017-01-02,2021-12-31,2022-01-03,2022-12-30,144.9104600481544,82.78605158434938,0.5371439092316155
LightGBM,diff,2017-01-02,2021-12-31,2022-01-03,2022-12-30,199.84418369423696,157.70744374757788,1.0454409763975099
LightGBM,log_return,2017-01-02,2021-12-31,2022-01-03,2022-12-30,90.24427256450625,74.35560603660531,0.5015961842906114
LightGBM,level,2018-01-01,2022-12-30,2023-01-02,2023-05-31,63.80107360979079,44.29708109767844,0.2930551907900246
LightGBM,diff,2018-01-01,2022-12-30,2023-01-02,2023-05-31,284.9980922217367,270.5386862823726,1.7988696744587425
LightGBM,log_return,2018-01-01,2022-12-30,2023-01-02,2023-05-31,259.26340000934835,246.00463510599556,1.6350532015670751
